"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_Disc_D3.0mm_W2.0mm_P2.50mm";1;"C";;;
2;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"C2";;;
3;"C3";"CP_Radial_D6.3mm_P2.50mm";1;"C3";;;
4;"D1";"D_DO-201_P5.08mm_Vertical_KathodeUp";1;"D1";;;
5;"D2";"D_DO-201_P5.08mm_Vertical_KathodeUp";1;"D2";;;
6;"J1";"BARREL_JACK";1;"BARREL_JACK";;;
7;"R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical";1;"R1";;;
8;"RV1";"Potentiometer_Trimmer_Bourns_3296W";1;"POT_TRIM";;;
9;"U1";"TO-220_Vertical";1;"LM317T";;;
10;"C4";"CP_Radial_D5.0mm_P2.50mm";1;"C4";;;
11;"C5";"CP_Radial_D5.0mm_P2.50mm";1;"C5";;;
12;"U2";"DIP-8_W7.62mm";1;"TC7660";;;
13;"REF**";"SW_PUSH_x2";1;"SW_PUSH_x2_1";;;
14;"REF**";"SW_PUSH_x2";1;"SW_PUSH_x2_2";;;
15;"J2";"PINHEAD1-2";1;"J2";;;
16;"C6";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"C6";;;
17;"C7";"CP_Radial_D5.0mm_P2.50mm";1;"C7";;;
18;"J3";"Audio_Jack";1;"JACK_TRS_6PINS";;;
19;"U3";"DIP-14_W7.62mm";1;"OPA4228";;;
20;"R2";"R_Axial_DIN0411_L9.9mm_D3.6mm_P7.62mm_Vertical";1;"R2";;;
21;"R3";"R_Axial_DIN0411_L9.9mm_D3.6mm_P7.62mm_Vertical";1;"R3";;;
22;"C10";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"C10";;;
23;"C11";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"C11";;;
24;"C12";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"C12";;;
25;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"R4";;;
26;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"R5";;;
27;"R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"R6";;;
28;"R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"R7";;;
29;"R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"R8";;;
30;"R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"R9";;;
31;"C14";"C_Disc_D6.0mm_W2.5mm_P5.00mm";1;"C14";;;
32;"C15";"C_Disc_D6.0mm_W2.5mm_P5.00mm";1;"C15";;;
33;"C8";"C_Disc_D6.0mm_W2.5mm_P5.00mm";1;"C8";;;
34;"C9";"C_Disc_D6.0mm_W2.5mm_P5.00mm";1;"C9";;;
35;"C13";"C_Disc_D6.0mm_W2.5mm_P5.00mm";1;"C13";;;
